event_id,start_sample,end_sample,duration_sec,start_time_min,kmeans_cluster,dbscan_cluster,is_anomaly,anomaly_score,pca_1,pca_2,pca_3,peak_acceleration,rms_acceleration,energy,dominant_freq,spectral_centroid
49,140675,140796,1.21,23.445833333333333,0,-1,0,-0.45387982291371826,-3.1619581350949115,-2.2933187578287604,0.0,1.5007744502632887,0.6490740976333464,50.9769592904437,0.847457627118644,16.783018251873163
50,146396,146663,2.67,24.399333333333335,0,-1,0,-0.3847888568812331,-1.7851098825933973,0.11013199645778673,0.0,3.3479784545690636,0.7996921999270779,170.74853310466392,1.5151515151515151,18.951242309002623
51,151225,151966,7.41,25.204166666666666,4,-1,0,-0.37045209925450473,-0.9880934989173751,1.4569713840975687,0.0,3.079647767627429,0.8474345876624851,532.1457268517145,1.2195121951219512,19.247287326448607
52,152172,152546,3.74,25.362000000000002,4,-1,0,-0.3612663670437198,-1.5195638115312096,0.9351537444142071,0.0,3.114647422446429,0.7695445664661871,221.4823660768343,1.3440860215053763,19.310813000650256
53,153301,154843,15.42,25.550166666666666,2,-1,1,-0.5785145735664188,11.216530123736849,2.482354739758263,0.0,18.00958868574114,2.967694210316398,13580.716163807912,1.2987012987012987,16.598020521769495
54,155038,156073,10.35,25.83966666666667,0,-1,0,-0.42076944889604406,0.13466323856342832,-0.5226976780587572,0.0,4.161391929250415,0.9780974349060915,990.1582028958214,1.1627906976744187,18.534665152693773
55,156765,156874,1.09,26.1275,3,-1,0,-0.4845514537836687,-2.0518714495306694,-3.959577012217919,0.0,1.9019697681945364,0.8852120868915528,85.4124478268999,2.830188679245283,14.299702188195875
56,162674,162955,2.81,27.112333333333332,4,-1,0,-0.44339147566764187,-0.9458033758883247,1.9610375309805133,0.0,4.421301202333875,0.898603288211526,226.9040913532633,1.4388489208633093,20.868630045374083
57,163242,163916,6.74,27.207,4,-1,0,-0.3840515430744842,-0.4289570221491543,1.1032047067435435,0.0,4.047971550937832,0.948839214430175,606.7994061624779,1.3392857142857142,19.89472083681195
58,164111,164315,2.04,27.35183333333333,0,-1,0,-0.4281848865741903,-3.013547965903955,-2.316220387411651,0.0,1.6757727243556964,0.631479292501386,81.34828375904242,0.9900990099009901,16.84505002978916
59,165188,165457,2.69,27.531333333333336,0,-1,0,-0.35888285451424773,-2.0764807841154593,-1.0617570729037356,0.0,2.4729870841087513,0.771150058771012,159.96687913534197,1.1278195488721803,17.854575265517994
60,166630,166960,3.3,27.771666666666665,0,-1,0,-0.37129519486946544,-1.1433292937461086,-0.6123600105692784,0.0,3.0602035149512625,0.9628318958393373,305.9249356830389,1.2195121951219512,20.06245180317621
61,167632,168041,4.09,27.938666666666666,0,-1,0,-0.3851826366974681,-1.9578724758759962,-1.418667349298132,0.0,2.010213870398543,0.803130834246869,263.81282699949134,1.2315270935960592,18.82608559654873
62,169841,170161,3.2,28.306833333333334,0,-1,0,-0.38217673284296955,-2.5164475413019627,-0.026276901915543636,0.0,1.8352155963061347,0.6780890902912651,147.13754059905133,1.2578616352201257,19.786154753559572
63,171108,171491,3.83,28.517999999999997,4,-1,0,-0.3513201360671134,-1.9615047202556233,0.3103272771918754,0.0,2.5740971980280993,0.74944192164447,215.11700327065373,1.3157894736842104,19.16060384367554
64,172172,172401,2.29,28.695333333333334,5,-1,0,-0.43078986376144307,-1.2782449628400203,1.1449457743873857,0.0,3.1036245836275738,0.8878157988169861,180.5016684120509,15.486725663716815,17.611003580457538
65,172610,173172,5.62,28.76833333333333,4,-1,0,-0.37069885398091745,-1.4642894039526808,1.8635150593715581,0.0,2.8307613333636885,0.7804380352656353,342.3049421117782,1.25,20.394475835942224
66,182731,182887,1.56,30.455166666666667,4,-1,0,-0.39678214165074494,-2.4341769128197335,2.2674177580741777,0.0,2.2364109142373825,0.6840847210924083,73.00361727860417,1.2987012987012987,20.901414485517083
67,184751,185081,3.3,30.791833333333333,4,-1,0,-0.370520913511516,-1.7316181978772882,2.090118099817528,0.0,2.581874899099084,0.8378755081683356,231.67167117215433,1.2195121951219512,19.244757706986857
68,195990,199126,31.36,32.665,1,-1,1,-0.6228980976055281,15.37282854401979,1.1927707720839078,0.0,22.625010558450853,2.8777583808401483,25970.762984082558,1.2763241863433312,16.095486701147767
69,199521,199672,1.51,33.2535,3,-1,0,-0.5207049557549603,0.1959104672736384,-5.927049837184143,0.0,2.9513156999600665,1.275800225026461,245.7775983408129,2.7027027027027026,12.036055933682803
70,200965,201272,3.07,33.494166666666665,4,-1,0,-0.354873640470024,-1.7659901621349177,1.500188151384745,0.0,2.8664047009690146,0.7967599920931229,194.8917308950716,1.3157894736842106,21.734948420955817
71,201596,201921,3.25,33.599333333333334,4,-1,0,-0.3721868335311949,-1.325871038603325,1.9457315294447404,0.0,3.5657540845505924,0.8391832866551083,228.87429129541266,1.2422360248447204,21.547953232529398
72,203465,203634,1.69,33.910833333333336,4,-1,0,-0.43848634462912256,-3.2900047849297107,2.424166906139463,0.0,1.7775265510622345,0.6110268566265034,63.09679549868828,1.2048192771084338,22.43622367749951
73,206978,207545,5.67,34.49633333333334,5,-1,0,-0.4194272094732843,-0.8880824688262349,2.494627768575341,0.0,3.410843775922405,0.9556581894048146,517.831220011669,15.957446808510639,19.73308201706864
74,214091,214863,7.72,35.68183333333333,0,-1,0,-0.4129103601023489,-0.2644363152510437,-2.3906146637673173,0.0,3.480843085559541,0.9896529584502509,756.1068191467259,1.2987012987012987,18.098122080382744
75,216794,217074,2.8,36.132333333333335,5,-1,0,-0.39593606459585007,-1.5870526140386079,2.4765167071233036,0.0,2.6985404151604016,0.8881332245625658,220.85857488013227,15.827338129496402,19.69217130142642
76,218671,218989,3.18,36.445166666666665,4,-1,0,-0.4019713111469597,-0.6335469295444555,2.170754874295576,0.0,3.8768621273804844,1.0663335585226412,361.5873880540358,1.2658227848101267,21.33550052423032
